
2023/08/24 (11:46:24) | ===> btop++ v.1.2.13
2023/08/24 (11:46:24) | ERROR: Stall in Runner thread, restarting!
2023/08/24 (11:46:41) | ERROR: Stall in Runner thread, restarting!
2023/08/24 (11:46:57) | ERROR: Stall in Runner thread, restarting!
2023/08/24 (11:47:13) | ERROR: Stall in Runner thread, restarting!

2023/09/02 (20:43:56) | ===> btop++ v.1.2.13
2023/09/02 (20:43:56) | ERROR: Stall in Runner thread, restarting!
2023/09/02 (20:44:12) | ERROR: Stall in Runner thread, restarting!
2023/09/02 (20:44:27) | ERROR: Stall in Runner thread, restarting!
2023/09/02 (20:44:41) | WARNING: Failed to join _runner thread on exit!
2023/09/02 (20:44:41) | ERROR: Runner thread died unexpectedly!

2023/10/22 (13:23:37) | ===> btop++ v.1.2.13
2023/10/22 (13:23:37) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:23:52) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:24:08) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:24:24) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:24:40) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:24:56) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:25:11) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:25:27) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:25:42) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:25:58) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:26:13) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:26:29) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:26:44) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:27:00) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:27:15) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:27:31) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:27:46) | ERROR: Stall in Runner thread, restarting!
2023/10/22 (13:28:02) | ERROR: Stall in Runner thread, restarting!
